id,followers,genres,name,popularity,img_url_640,img_url_320,img_url_160
1yxSLGMDHlW21z4YXirZDS,8003863.0,"['dance pop', 'pop', 'pop rap']",Black Eyed Peas,86,https://i.scdn.co/image/ab6761610000e5ebabab30b094128cf4c0f2cef1,https://i.scdn.co/image/ab67616100005174abab30b094128cf4c0f2cef1,https://i.scdn.co/image/ab6761610000f178abab30b094128cf4c0f2cef1
0aMqt2uGLuHj4eI8oXgVzN,181704.0,['mexican pop'],Christian Chávez,73,https://i.scdn.co/image/ab6761610000e5eb2ac8e1505de5a66b2bd9c131,https://i.scdn.co/image/ab676161000051742ac8e1505de5a66b2bd9c131,https://i.scdn.co/image/ab6761610000f1782ac8e1505de5a66b2bd9c131
4q2SZIdLq6YTc9cZLCclWc,1139767.0,['turkish rock'],Son Feci Bisiklet,62,https://i.scdn.co/image/ab6761610000e5eb1d3d0263284ce8b8dbed7aad,https://i.scdn.co/image/ab676161000051741d3d0263284ce8b8dbed7aad,https://i.scdn.co/image/ab6761610000f1781d3d0263284ce8b8dbed7aad
21ppfKgGToa81HQE0kET5P,777923.0,"['turkish pop', 'turkish rock']",Gece Yolcuları,49,https://i.scdn.co/image/ab6761610000e5eb5681fbaef52a4fe8aeada340,https://i.scdn.co/image/ab676161000051745681fbaef52a4fe8aeada340,https://i.scdn.co/image/ab6761610000f1785681fbaef52a4fe8aeada340
1YVEF2N8QHkkQ84LM51Xyo,130737.0,"['flamenco', 'nuevo flamenco', 'pop flamenco', 'rumba', 'spanish pop']",Antonio Carmona,60,https://i.scdn.co/image/ab6761610000e5eb8853c3345e2544808a2c4f90,https://i.scdn.co/image/ab676161000051748853c3345e2544808a2c4f90,https://i.scdn.co/image/ab6761610000f1788853c3345e2544808a2c4f90
0NeC6ploeJUq8oDwYQjNPS,83409.0,"['bubblegum dance', 'eurodance', 'europop']",Bomfunk MC's,57,https://i.scdn.co/image/8a9d90b995c4eb84be70b21e1b149eea6d93e5c8,,
3AmWjMXXtBJOmNGpUFSOAl,231220.0,"['alternative rock', 'art punk', 'art rock', 'dance rock', 'dance-punk', 'experimental', 'funk rock', 'new wave', 'post-hardcore', 'post-punk', 'punk', 'uk post-punk']",Gang Of Four,53,https://i.scdn.co/image/ab6761610000e5ebe425a8cbd1fd88d26cc542a9,https://i.scdn.co/image/ab67616100005174e425a8cbd1fd88d26cc542a9,https://i.scdn.co/image/ab6761610000f178e425a8cbd1fd88d26cc542a9
1c8vsLWY82GMwKdHwXlEBV,10289.0,"['hungarian rock', 'magyar alternative']",Anna and The Barbies,34,https://i.scdn.co/image/ab6761610000e5ebee013dd02c47aad863cdad3f,https://i.scdn.co/image/ab67616100005174ee013dd02c47aad863cdad3f,https://i.scdn.co/image/ab6761610000f178ee013dd02c47aad863cdad3f
0Lalg0UeR7XtSNoxqJbQNU,102.0,['classical jazz fusion'],Waclaw Kisielewski,15,https://i.scdn.co/image/ab67616d0000b27306e710bb6edff5206e2e907d,,
329e4yvIujISKGKz1BZZbO,15506803.0,"['latin', 'latin hip hop', 'reggaeton', 'trap latino', 'tropical']",Farruko,91,https://i.scdn.co/image/ab6761610000e5eba4f05d6d3eaa559bbed7edb6,https://i.scdn.co/image/ab67616100005174a4f05d6d3eaa559bbed7edb6,https://i.scdn.co/image/ab6761610000f178a4f05d6d3eaa559bbed7edb6
